                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.83428,                0.79676,                0.78253,                0.90497,                0.82257,                   0.75,                 0.7713,                0.54478,                0.82257,                   0.75,                0.77076,                0.44375,                 1.2033,                 1.3393,                 1.5008,                 1.1693,              0.0043075,              0.0043075,              0.0043075
                     25,                0.79973,                 0.8217,                 0.7833,                0.92117,                0.95597,                0.67882,                0.78799,                 0.6115,                0.95597,                0.67882,                0.79672,                 0.5605,                 1.1077,                 1.2743,                 1.4244,                  1.121,                0.00406,                0.00406,                0.00406
                     26,                0.72542,                0.66377,                0.68828,                0.85367,                0.88294,                0.70742,                0.79141,                0.61553,                0.82906,                0.78125,                0.81179,                0.52346,                 0.9321,                 1.2228,                 1.2894,                 1.0211,              0.0038125,              0.0038125,              0.0038125
                     27,                0.70514,                0.72645,                0.64895,                0.88406,                0.88962,                0.65625,                0.79416,                0.61277,                0.88962,                0.65625,                0.80159,                0.54731,                0.90627,                 1.2334,                 1.0636,                 0.9563,               0.003565,               0.003565,               0.003565
                     28,                0.59116,                0.61709,                0.53736,                0.84681,                0.89813,                 0.6875,                0.79956,                0.58679,                0.89813,                 0.6875,                0.79956,                0.51577,                0.84426,                 1.1755,                 1.1098,                0.97856,              0.0033175,              0.0033175,              0.0033175
                     29,                0.68441,                0.73055,                0.60871,                0.85674,                0.84436,                0.67837,                0.77268,                0.56148,                0.84436,                0.67837,                0.77995,                0.47092,                0.88269,                  1.129,                 1.2746,                0.99899,                0.00307,                0.00307,                0.00307
                     30,                0.61959,                0.62218,                0.58956,                0.85841,                 0.8695,                0.62467,                0.76869,                0.56934,                 0.8695,                0.62467,                0.76869,                 0.4807,                0.95629,                  1.066,                 1.3385,                 1.0393,              0.0028225,              0.0028225,              0.0028225
                     31,                0.63662,                0.69826,                0.59832,                  0.845,                0.83398,                0.62805,                0.76199,                 0.5823,                0.83398,                0.62805,                0.76199,                0.49619,                0.94362,                 1.0274,                 1.3286,                 1.0351,               0.002575,               0.002575,               0.002575
                     32,                 0.6468,                0.67389,                0.54244,                0.85942,                0.84483,                0.68077,                0.75921,                0.57809,                0.84483,                0.68077,                0.75921,                0.48631,                0.92993,                 1.0539,                 1.3323,                 1.0411,              0.0023275,              0.0023275,              0.0023275
                     33,                0.65701,                0.63072,                0.57974,                0.87658,                0.79164,                0.71255,                0.75796,                 0.5995,                 0.9164,                0.68519,                0.77858,                0.51168,                0.92227,                0.98467,                 1.2767,                 1.0214,                0.00208,                0.00208,                0.00208
                     34,                0.66359,                0.65817,                 0.5588,                0.85282,                0.93381,                  0.625,                0.77271,                0.60675,                0.93381,                  0.625,                0.78415,                0.52485,                0.92922,                0.96751,                 1.2495,                 1.0303,              0.0018325,              0.0018325,              0.0018325
                     35,                0.60835,                0.67449,                0.56385,                0.85641,                0.90049,                0.65625,                0.75063,                0.60869,                0.94401,                 0.6875,                0.80096,                0.52248,                0.89575,                0.98565,                  1.197,                 1.0232,               0.001585,               0.001585,               0.001585
                     36,                0.60864,                0.64796,                0.52525,                0.84688,                0.95772,                0.70825,                0.80479,                0.61744,                0.94009,                 0.6875,                0.80895,                0.53041,                0.88701,                0.96878,                 1.1882,                 1.0086,              0.0013375,              0.0013375,              0.0013375
                     37,                0.56126,                0.54194,                0.50058,                0.82919,                0.93542,                 0.6875,                0.80055,                0.60918,                0.93542,                 0.6875,                0.81497,                0.53163,                0.90624,                0.96563,                 1.1456,                 1.0184,                0.00109,                0.00109,                0.00109
                     38,                0.58394,                0.51979,                0.53277,                 0.8714,                0.87453,                 0.6875,                0.79184,                 0.6087,                0.87453,                 0.6875,                0.80876,                0.55576,                0.89948,                0.96382,                 1.1329,                 1.0184,              0.0008425,              0.0008425,              0.0008425
                     39,                0.60263,                0.65391,                0.51717,                0.85692,                0.87185,                0.71875,                0.80837,                0.62495,                0.87185,                0.71875,                0.81578,                0.55361,                0.90481,                0.96108,                 1.1218,                 1.0221,               0.000595,               0.000595,               0.000595
